epoch,batch,train_loss,train_accuracy
0,0,0.7072705,0.8
1,1,1.3701787,0.6
1,2,1.1432967,0.5
1,3,0.85411865,0.65
1,4,0.70062906,0.8
1,5,1.1786274,0.6
1,6,1.0902421,0.6
1,7,0.8234566,0.6
1,8,1.0669816,0.6
1,9,1.173046,0.45
1,10,1.3790977,0.4
1,11,0.80506945,0.65
1,12,1.0029294,0.6
1,13,1.023492,0.55
1,14,0.7566091,0.8
1,15,0.8187146,0.6
1,16,1.1401756,0.5
1,17,1.1411897,0.6
1,18,0.86776555,0.55
1,19,1.1876372,0.5
1,20,1.0873791,0.55
1,21,1.2106663,0.4
1,22,1.2299217,0.5
1,23,1.0134907,0.6
1,24,0.9547967,0.65
1,25,0.919158,0.65
1,26,1.10468,0.45
1,27,0.8845581,0.6
1,28,0.9451825,0.65
1,29,1.022856,0.55
1,30,1.2443099,0.6
1,31,1.9826257,0.35
1,32,1.3409156,0.5
1,33,1.2848105,0.35
1,34,1.3117616,0.45
1,35,1.0680033,0.6
1,36,1.1582618,0.35
1,37,0.9424736,0.55
1,38,0.94889325,0.45
1,39,1.3400877,0.25
1,40,1.3777057,0.45
1,41,1.0564535,0.6
1,42,0.9402544,0.55
1,43,0.92115813,0.75
1,44,0.92031366,0.6
1,45,0.94527626,0.65
1,46,1.0072172,0.55
1,47,1.153112,0.3
1,48,1.1042647,0.55
1,49,0.9321998,0.7
1,50,1.0811778,0.55
2,51,1.0667486,0.65
2,52,1.0362236,0.6
2,53,1.1429651,0.5
2,54,0.7145342,0.75
2,55,1.2543069,0.45
2,56,1.0751536,0.55
2,57,0.9955537,0.7
2,58,1.0356933,0.6
2,59,1.3062152,0.35
2,60,0.97752506,0.65
2,61,0.90639913,0.65
2,62,1.050875,0.7
2,63,1.1380866,0.3
2,64,1.0088944,0.6
2,65,1.3732798,0.4
2,66,1.1803415,0.4
2,67,1.5921997,0.3
2,68,1.1456846,0.55
2,69,1.0774467,0.5
2,70,1.018316,0.5
2,71,1.027324,0.55
2,72,1.1918147,0.55
2,73,1.083104,0.55
2,74,1.0115322,0.5
2,75,0.9259254,0.5
2,76,1.0276308,0.6
2,77,1.1177133,0.5
2,78,1.0443848,0.5
2,79,0.9479644,0.6
2,80,1.2328297,0.45
2,81,1.1202629,0.55
2,82,1.2869223,0.5
2,83,1.0462288,0.4
2,84,0.935392,0.55
2,85,0.81398594,0.6
2,86,1.5726995,0.3
2,87,1.2515293,0.45
2,88,1.0284383,0.55
2,89,1.2126449,0.5
2,90,0.92139894,0.6
2,91,0.93805945,0.6
2,92,0.76587963,0.7
2,93,0.89748126,0.55
2,94,1.1433972,0.5
2,95,0.924261,0.65
2,96,0.9506596,0.6
2,97,1.1053338,0.45
2,98,1.11456,0.4
2,99,0.98472166,0.5
2,100,0.6353283,0.75
3,101,0.9634446,0.55
3,102,0.8183152,0.65
3,103,1.1809614,0.45
3,104,1.6222813,0.35
3,105,1.0874765,0.55
3,106,1.10195,0.6
3,107,0.87744844,0.75
3,108,1.0606631,0.65
3,109,1.2436225,0.5
3,110,1.2656934,0.35
3,111,0.76094186,0.7
3,112,1.2457035,0.55
3,113,0.89619386,0.7
3,114,1.1253252,0.5
3,115,1.3994428,0.4
3,116,0.95788467,0.6
3,117,1.0068992,0.6
3,118,0.96958244,0.6
3,119,0.9882593,0.55
3,120,1.5199163,0.25
3,121,1.185349,0.5
3,122,0.9345514,0.5
3,123,1.0873264,0.5
3,124,1.132925,0.65
3,125,1.227398,0.4
3,126,0.9612563,0.55
3,127,0.9310978,0.65
3,128,0.9208457,0.6
3,129,1.1627353,0.55
3,130,0.9692076,0.55
3,131,0.8416108,0.75
3,132,1.1715057,0.5
3,133,1.0327957,0.5
3,134,1.0498589,0.6
3,135,1.0659983,0.7
3,136,0.8581837,0.7
3,137,1.048426,0.55
3,138,0.92004144,0.6
3,139,1.4360596,0.55
3,140,1.0444238,0.65
3,141,1.2543834,0.6
3,142,0.8743852,0.7
3,143,1.4029318,0.45
3,144,0.87072134,0.65
3,145,0.89715546,0.55
3,146,1.4974419,0.35
3,147,0.9586784,0.55
3,148,1.0807023,0.65
3,149,1.075834,0.55
3,150,1.0402628,0.5
4,151,0.9928883,0.65
4,152,1.3388655,0.45
4,153,0.8968452,0.6
4,154,1.092099,0.65
4,155,1.043027,0.65
4,156,1.1857704,0.5
4,157,1.3358504,0.5
4,158,1.3098963,0.4
4,159,1.0629585,0.6
4,160,1.0021311,0.7
4,161,1.3692895,0.45
4,162,0.92373717,0.55
4,163,1.0126674,0.5
4,164,0.8045448,0.75
4,165,1.2365953,0.55
4,166,0.9929762,0.6
4,167,1.364375,0.55
4,168,1.1909888,0.55
4,169,1.4483802,0.5
4,170,1.190833,0.7
4,171,1.1004012,0.45
4,172,1.3791237,0.3
4,173,1.037214,0.5
4,174,1.2825915,0.45
4,175,0.6953328,0.7
4,176,0.9286814,0.6
4,177,1.1487693,0.6
4,178,0.58074653,0.8
4,179,1.1219289,0.45
4,180,1.0448567,0.5
4,181,1.2322376,0.5
4,182,1.3544061,0.45
4,183,0.9869288,0.6
4,184,0.9409212,0.55
4,185,1.2167429,0.45
4,186,1.2334164,0.4
4,187,1.5131521,0.35
4,188,1.1265428,0.45
4,189,1.1016815,0.55
4,190,1.22421,0.4
4,191,0.986122,0.6
4,192,1.0482094,0.65
4,193,1.1384609,0.5
4,194,0.9307331,0.55
4,195,0.86195534,0.75
4,196,0.8329608,0.5
4,197,1.0544492,0.6
4,198,0.8627244,0.7
4,199,0.9927117,0.55
4,200,0.9294715,0.7
5,201,1.0953197,0.55
5,202,1.1208957,0.45
5,203,1.2388442,0.45
5,204,1.3703337,0.55
5,205,0.64159817,0.75
5,206,1.0663766,0.55
5,207,1.1345251,0.55
5,208,1.0924048,0.6
5,209,0.95745975,0.55
5,210,1.0452325,0.65
5,211,1.2233144,0.45
5,212,1.1701816,0.65
5,213,0.81460637,0.7
5,214,1.2597682,0.45
5,215,1.194421,0.5
5,216,1.1767027,0.6
5,217,0.79140246,0.8
5,218,1.2528074,0.55
5,219,1.7269859,0.3
5,220,0.770033,0.7
5,221,1.0352824,0.6
5,222,1.4287854,0.45
5,223,1.1053395,0.55
5,224,1.1155157,0.45
5,225,0.75988704,0.7
5,226,1.1500924,0.5
5,227,1.088795,0.6
5,228,1.1520418,0.45
5,229,0.9545867,0.6
5,230,1.146246,0.5
5,231,0.83647317,0.7
5,232,1.1935585,0.5
5,233,1.3383064,0.5
5,234,1.3546176,0.45
5,235,1.1165593,0.55
5,236,0.8971855,0.7
5,237,1.1594279,0.55
5,238,1.1979296,0.55
5,239,0.99156684,0.65
5,240,1.3192015,0.5
5,241,1.0514901,0.65
5,242,0.89630395,0.65
5,243,1.02561,0.5
5,244,0.94926643,0.6
5,245,0.9981082,0.6
5,246,0.9525677,0.55
5,247,0.95845366,0.6
5,248,0.9844767,0.65
5,249,1.3815295,0.55
5,250,0.77614063,0.65
6,251,1.3369,0.35
6,252,1.1716856,0.45
6,253,0.94507563,0.65
6,254,1.0417435,0.6
6,255,0.87191314,0.65
6,256,1.0187166,0.55
6,257,0.9674193,0.55
6,258,1.090008,0.55
6,259,0.92668563,0.5
6,260,1.023488,0.55
6,261,0.997039,0.7
6,262,1.067548,0.45
6,263,0.8601475,0.65
6,264,1.1364641,0.5
6,265,1.704257,0.2
6,266,1.3360109,0.4
6,267,1.1123234,0.5
6,268,0.88285464,0.55
6,269,1.1137311,0.65
6,270,1.0870478,0.55
6,271,1.2370931,0.55
6,272,1.1047513,0.6
6,273,1.1896476,0.45
6,274,1.3486043,0.45
6,275,0.8232163,0.5
6,276,0.9842269,0.7
6,277,1.168148,0.5
6,278,0.909198,0.65
6,279,1.4363878,0.3
6,280,1.1446972,0.65
6,281,1.4594388,0.45
6,282,0.9926394,0.6
6,283,1.1974573,0.45
6,284,1.4096057,0.45
6,285,0.8820834,0.7
6,286,0.8829969,0.7
6,287,0.96249735,0.6
6,288,0.88777673,0.65
6,289,0.916453,0.6
6,290,0.6491103,0.75
6,291,1.3886893,0.4
6,292,1.2892337,0.5
